Title,Artist,kinki,love,success,hard,need,feel,day,new,gone,heart,boy,realli,real,think,would,thing,one,hold,sdanger,bitch,leav,danger,around,talk,run,keep,nigga,live,sweet,world,alway,successt,eye,parti,wait,bodi,made,noth,show,bad,turn,long,home,light,hand,work,nigparti,caheart,walk,Emotion
Over Now,Post Malone,0,4,4,0,1,3,2,0,0,3,0,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,c
Stir Fry,Migos,0,0,30,0,1,4,0,0,0,1,0,0,3,1,0,0,0,2,1,0,0,0,1,0,0,5,1,0,0,1,0,0,2,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,c
Takin' Shots,Post Malone,0,6,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,1,3,2,0,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,c
When We,Tank,4,8,0,0,6,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,c
Zack And Codeine,Post Malone,0,0,5,4,0,6,0,0,0,2,0,0,0,0,0,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,1,1,0,8,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,c
Barbie Tingz,Nicki Minaj,0,0,11,0,1,1,1,1,0,2,0,0,3,0,5,0,0,0,0,21,0,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,4,0,0,c
Blame It On Me,Post Malone,1,2,1,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,c
Diamond Teeth Samurai,YoungBoy Never Broke Again,2,0,5,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,1,1,0,2,0,0,4,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,0,0,c
Famous,Mason Ramsey,0,9,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,c
Otherside,Post Malone,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,c
Preach,YoungBoy Never Broke Again,3,8,9,0,1,2,0,0,4,4,0,0,1,5,0,1,1,1,3,8,1,2,1,0,0,2,6,1,3,2,0,0,0,4,0,0,0,2,2,1,1,1,0,0,1,0,6,1,0,c
1985 (Intro To The Fall Off),J. Cole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c
Candy Paint,Post Malone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c
